FID,BuildingID,landUseTyp,Area,Fheight,Fnum,Height,Age,LandNum,Cluster,Centre
8725,85510457.0,Residential_1,122.6128,0.0,0,3.0,1970.0,0,1.0,-1.0
8726,85510458.0,Residential_1,151.7457,0.0,0,3.0,1970.0,0,1.0,-1.0
9951,85460912.0,Residential_1,284.6109,3.0,3,9.0,1970.0,0,2.0,-1.0
9958,85510844.0,Residential_1,51.4138,0.0,0,3.0,1970.0,0,1.0,-1.0
9962,85510877.0,Residential_1,66.4584,0.0,0,3.0,1970.0,0,1.0,-1.0
9967,85510897.0,Residential_1,55.1429,0.0,0,3.0,1970.0,0,1.0,-1.0
9969,85510914.0,Residential_1,62.5964,0.0,0,3.0,1970.0,0,1.0,-1.0
9973,85510968.0,Residential_1,54.6325,0.0,0,3.0,1970.0,0,1.0,-1.0
9974,85510969.0,Residential_1,54.6287,0.0,0,3.0,1970.0,0,1.0,-1.0
9975,85510970.0,Residential_1,54.5987,0.0,0,3.0,1970.0,0,1.0,-1.0
9984,85510959.0,Residential_1,59.4154,0.0,0,3.0,1970.0,0,1.0,-1.0
9987,85510999.0,Residential_1,124.1207,0.0,0,3.0,1970.0,0,1.0,-1.0
9988,85511000.0,Residential_1,117.6944,0.0,0,3.0,1970.0,0,1.0,-1.0
9996,85511023.0,Residential_1,87.1425,0.0,0,2.0,1970.0,0,1.0,-1.0
9998,85511025.0,Residential_1,62.361,0.0,0,2.0,1970.0,0,1.0,-1.0
9999,85511026.0,Residential_1,62.3534,0.0,0,2.0,1970.0,0,1.0,-1.0
10001,85511028.0,Residential_1,70.1909,0.0,0,2.0,1970.0,0,1.0,-1.0
10002,85511029.0,Residential_1,70.4214,0.0,0,2.0,1970.0,0,1.0,-1.0
10003,85511030.0,Residential_1,70.1118,0.0,0,2.0,1970.0,0,1.0,-1.0
10004,85511031.0,Residential_1,70.2858,0.0,0,2.0,1970.0,0,1.0,-1.0
10005,85511032.0,Residential_1,57.6886,0.0,0,2.0,1970.0,0,1.0,-1.0
10011,85511008.0,Residential_1,74.6625,0.0,0,3.0,1970.0,0,1.0,-1.0
10012,85511097.0,Residential_1,303.8318,0.0,0,3.0,1990.0,0,12.0,-1.0
10013,85511098.0,Residential_1,303.8664,0.0,0,3.0,1990.0,0,12.0,-1.0
10014,85511099.0,Residential_1,303.9014,0.0,0,3.0,1990.0,0,12.0,-1.0
